20200123,0.29663944244384766,8,None,0,None,0,None,0
20200129,0.4196586310863495,8,None,0,None,0,None,0
20200130,0.2015577256679535,5,None,0,None,0,None,0
20200203,0.37126344442367554,23,0.39810785055160525,15,None,0,None,0
20200204,0.3267979025840759,10,0.3267979025840759,10,None,0,None,0
20200207,0.46352633833885193,9,None,0,None,0,None,0
20200210,0.3437067912175105,13,None,0,None,0,None,0
20200211,0.31116780638694763,18,None,0,None,0,None,0
20200220,0.5763118863105774,11,None,0,0.5763118863105774,11,None,0
20200224,0.3725954443216324,12,0.35432928800582886,6,None,0,None,0
20200225,0.3858649636569776,19,0.3023415803909302,4,None,0,None,0
20200226,0.44286951422691345,6,None,0,0.46364936232566833,3,0.42208966612815857,3
20200227,0.4397565777655001,27,0.4188988779981931,12,None,0,None,0
20200228,0.38081322237849236,16,0.37413887977600097,5,None,0,0.4252383649349213,5
20200229,0.4546680667183616,11,0.4546680667183616,11,None,0,None,0
20200301,0.40299850702285767,3,0.40299850702285767,3,None,0,None,0
20200303,0.33215132852395374,12,None,0,None,0,0.3468790224620274,7
20200304,0.37345394492149353,9,0.29973198771476744,5,None,0,None,0
20200305,0.4172636568546295,5,None,0,0.550940215587616,2,None,0
20200306,0.42262355817688835,9,0.44464778155088425,8,0.24642977118492126,1,None,0
20200307,0.41728727022806805,57,0.38123199343681335,12,0.3632443770766258,8,0.36953288316726685,4
20200308,0.37208105986182755,37,0.46223514941003585,9,None,0,0.3861097514629364,5
20200309,0.4335312900089082,42,0.4481433033943176,7,0.3708579081755418,13,0.3449918031692505,2
20200310,0.40558801826677826,95,0.4324904707345096,33,0.37847060140441446,17,0.40038634623800007,7
20200311,0.38984401794204937,171,0.38410419514102323,93,0.4154945562283198,24,0.4129851380983988,15
20200312,0.3974550602764919,464,0.3970239246609034,216,0.3839884080431041,68,0.4359339529275894,50
20200313,0.40864871084690096,50,0.41300292584029114,22,0.37009010050031876,9,0.4241801897684733,6
20200316,0.470329290774255,327,0.4762278605770591,151,0.4975833915174007,40,0.47489532569180365,23
20200317,0.4710687087054997,474,0.45838801959716596,229,0.47830741864735965,61,0.4285781482855479,36
20200318,0.46772444321169065,776,0.4739616652161388,354,0.46116031106147504,144,0.45410826743817795,51
20200319,0.4705435035752384,881,0.47870687207676227,401,0.47535022858559617,127,0.43479217192794706,79
20200320,0.4798517527958107,1079,0.48467908310703933,512,0.4948174224136779,161,0.517167134468372,65
20200321,0.47321191532544454,1309,0.48343836772105386,620,0.4643427677200002,236,0.46006057523190974,80
20200322,0.4599871290079241,1212,0.4582257352799297,498,0.46568791425798045,251,0.5079650130608807,92
20200323,0.4626591686780254,1068,0.47391796050258495,434,0.4636421675965624,206,0.4616736432659292,107
20200324,0.4566820354976237,812,0.45761119635486186,341,0.4569042298877448,114,0.48069380917777754,73
20200325,0.4701321211330679,777,0.4658584733383893,331,0.48469398152537463,123,0.4841776861007823,86
20200326,0.4796737936735153,500,0.46493170930057015,238,0.497601665164295,76,0.5472717442010578,38
20200327,0.46077522352182615,768,0.45126353387247053,285,0.44403896508393464,162,0.4816022110519125,67
20200328,0.46001436796830725,772,0.46225050467889284,309,0.4507295172766777,177,0.4973851351274384,36
20200329,0.4813499163483522,771,0.4850218084142161,353,0.45684551118730427,111,0.5003989631930987,60
20200330,0.46800471268133403,776,0.46875435844273633,355,0.5058078015802288,119,0.4675445883047013,63
20200331,0.4690086770040745,704,0.4760739557883319,323,0.45720847349355714,101,0.4609453338384628,50
20200401,0.45556749652995376,639,0.4501419471990731,288,0.4604065732161204,75,0.44774522009443063,61
20200402,0.442424561657606,589,0.4367350250598522,257,0.44488652929281575,78,0.47667934869726497,48
20200403,0.44543718536760635,604,0.43874733423279233,289,0.4267990140538467,95,0.49502713481585187,42
20200404,0.45022511823564515,585,0.4647712106221573,227,0.4196981574807848,91,0.43796144851616453,56
20200405,0.4526469463255347,615,0.45480494949332906,241,0.4608658311301715,73,0.47921085854371387,30
20200406,0.46350908340957664,678,0.46866006730858834,317,0.437678518455203,82,0.5042158748422351,70
20200407,0.46018775947176943,589,0.4693039294021825,240,0.45663557235490193,88,0.45207164910706604,44
20200408,0.45511982456480643,614,0.4537077051332098,259,0.46628167222041894,101,0.4462761403992772,64
20200409,0.4789862916883776,649,0.46287912442474755,296,0.49507792323827743,100,0.4790404200553894,60
20200410,0.46382465791337346,588,0.46486819493924086,233,0.47081036696379835,88,0.49599574009577435,48
20200411,0.45706689602038897,549,0.45944249788216784,226,0.4508835080751153,86,0.5369480599959692,42
20200412,0.4914370311451131,552,0.5020293694187478,207,0.49169357727139684,118,0.4892359092350929,62
20200413,0.4472457612832109,572,0.4623522019611215,265,0.4811111352382562,78,0.42264587356119737,49
20200414,0.43787144440423703,533,0.4398976096408902,263,0.44375120734764356,59,0.4140101630313724,51
20200415,0.47544650110054987,196,0.4641739808498545,94,0.4664148136973381,20,0.45930364914238453,16
20200417,0.43326073155986317,139,0.4311669319868088,62,0.42210613649625045,26,0.4277423545718193,8
20200418,0.45514263165856467,541,0.47148915109613015,223,0.44680707042033857,78,0.4261309504508972,55
20200419,0.4536189671613701,473,0.45579373640018506,182,0.447542573533841,67,0.4024180974279131,35
20200420,0.44869299006809066,481,0.4464589204408426,226,0.46036070907438126,74,0.44212398795705093,38
20200421,0.4532993297124731,232,0.48662620004232937,111,0.46457406878471375,28,0.3693520100343795,21
20200422,0.4538475789851817,454,0.4621403104377009,221,0.47018790186620224,51,0.4756895816603372,43
